property,percentile,threshold_l,threshold_r,auc,eer
cloudcover,10,0.0,8.5,0.7024342549364615,0.353430638588015
cloudcover,20,8.5,19.299999237060547,0.6698732842554168,0.37863875551638027
cloudcover,30,19.299999237060547,27.600000381469727,0.68601498213606,0.3666408208408275
cloudcover,40,27.600000381469727,33.79999923706055,0.6941759691037798,0.36203264956509157
cloudcover,50,33.79999923706055,39.599998474121094,0.6546758697401069,0.388897805396547
cloudcover,60,39.599998474121094,44.900001525878906,0.6889269108597561,0.36237885702455214
cloudcover,70,44.900001525878906,56.79999923706055,0.7003260671568691,0.35641643996632233
cloudcover,80,56.79999923706055,64.9000015258789,0.7087836351454031,0.34973450850572385
cloudcover,90,64.9000015258789,76.0,0.7064981176588987,0.350412923504796
cloudcover,100,76.0,94.69999694824219,0.6895181216791567,0.36261698203055726
confidence,10,41.0,91.0,0.6751855946370472,0.3776211566656865
confidence,20,91.0,95.0,0.6235741282913153,0.4151728873662798
confidence,30,95.0,97.0,0.6352572898667815,0.4045022373093019
confidence,40,97.0,98.0,0.6379692320657833,0.4059201615741621
confidence,60,98.0,99.0,0.6415329078412862,0.4002244503603092
confidence,80,99.0,100.0,0.6622658976533812,0.3818540361585979
distance,10,5.720794200897217,187.98011779785156,0.7602773802611993,0.3098070790659212
distance,20,187.98011779785156,285.9772033691406,0.6840994627702033,0.3659796326439404
distance,30,285.9772033691406,404.0768737792969,0.6562278182650065,0.387290255410188
distance,40,404.0768737792969,563.6563110351562,0.6616215475929451,0.3822989753276064
distance,50,563.6563110351562,745.8957824707031,0.6621819456753224,0.38241431120150404
distance,60,745.8957824707031,969.3331176757813,0.6601595838864995,0.3837933313444215
distance,70,969.3331176757813,1247.08134765625,0.6186531068734569,0.4102495828605659
distance,80,1247.08134765625,1690.563330078125,0.7172537115311817,0.3390705528372868
distance,90,1690.563330078125,2100.374780273438,0.7409183512609951,0.3244414553830031
distance,100,2100.374780273438,19410.4765625,0.6576807588034675,0.38923597320906334
humidity,10,33.7599983215332,37.63999938964844,0.6636081512644416,0.3819807972869952
humidity,20,37.63999938964844,42.06999969482422,0.6808904691850428,0.36933825915716056
humidity,30,42.06999969482422,45.349998474121094,0.6820271289178307,0.3687251906999835
humidity,40,45.349998474121094,47.380001068115234,0.6992998370925783,0.35549743198137596
humidity,50,47.380001068115234,48.959999084472656,0.688309884792165,0.36438828899224546
humidity,60,48.959999084472656,54.060001373291016,0.6876213377693765,0.36479213295259283
humidity,70,54.060001373291016,57.310001373291016,0.6982321044717003,0.3539530618615366
humidity,80,57.310001373291016,58.529998779296875,0.7070091285608255,0.3487497434939376
humidity,90,58.529998779296875,63.65999984741211,0.7076401264325195,0.35062077950647863
humidity,100,63.65999984741211,68.01000213623047,0.7172771471186207,0.34183156983817975
level,10,0.008366367779672146,0.016221468336880207,0.5596300030370592,0.45777254258147637
level,20,0.016221468336880207,0.01978447511792183,0.5901201608060439,0.4375815969260282
level,30,0.01978447511792183,0.023283617012202742,0.6127256314141221,0.4237829250094049
level,40,0.023283617012202742,0.026962218433618547,0.6384880607448402,0.40740026994672196
level,50,0.026962218433618547,0.030781554989516735,0.651998458417443,0.39506085828935067
level,60,0.030781554989516735,0.034852664172649386,0.6755685022507006,0.3722454589718775
level,70,0.034852664172649386,0.03932998850941658,0.6887174565761898,0.3621386412440116
level,80,0.03932998850941658,0.04450725317001343,0.6963968932979212,0.3576143630350645
level,90,0.04450725317001343,0.051957526803016664,0.7079810013997159,0.3488784487925962
level,100,0.051957526803016664,0.19378821551799774,0.7447050878250647,0.31949001141068034
magnitude,10,35.00010681152344,35.73718032836914,0.6159788629115441,0.41612090332406804
magnitude,20,35.73718032836914,36.54018630981445,0.6173009922985377,0.4183336606944705
magnitude,30,36.54018630981445,37.416874694824216,0.6293542963807119,0.40801340504788
magnitude,40,37.416874694824216,38.333394622802736,0.6341576941580388,0.40565020046284883
magnitude,50,38.333394622802736,39.33175849914551,0.6465752631506257,0.39470172396267444
magnitude,60,39.33175849914551,40.4282829284668,0.6671441624783817,0.3816227548867378
magnitude,70,40.4282829284668,41.62800750732422,0.6723721090397798,0.3761158985773678
magnitude,80,41.62800750732422,43.02887649536133,0.6966108471897493,0.3585859049408262
magnitude,90,43.02887649536133,44.91661529541015,0.699986059045801,0.35315770108751043
magnitude,100,44.91661529541015,58.33412170410156,0.712556687204224,0.34506771639426553
noise,10,-105.1900405883789,-104.26278915405274,0.6462513309641358,0.3944938195783292
noise,20,-104.26278915405274,-103.94020080566406,0.6410824431507869,0.39813650560645597
noise,30,-103.94020080566406,-103.53221817016602,0.641321099023463,0.39813318555118027
noise,40,-103.53221817016602,-103.02379608154297,0.6478998189042386,0.39214059763366926
noise,50,-103.02379608154297,-102.39459609985352,0.6474220745667655,0.39502879962167825
noise,60,-102.39459609985352,-101.63260498046876,0.6691606397420832,0.3803268627891814
noise,70,-101.63260498046876,-100.71548309326172,0.6716518888608272,0.3783000032809478
noise,80,-100.71548309326172,-99.46790008544922,0.6564122521156011,0.38881211474552496
noise,90,-99.46790008544922,-97.64173202514648,0.6646837556801252,0.37886172787655925
noise,100,-97.64173202514648,-85.27499389648438,0.6655549138372282,0.3819189799598463
solarradiation,10,6.0,192.0,0.6787271899820045,0.36870336766746326
solarradiation,20,192.0,255.0,0.6969875633856463,0.3593228595460022
solarradiation,30,255.0,317.0,0.7044375862251001,0.35185015273300035
solarradiation,40,317.0,355.0,0.6864425560102595,0.3665435665688517
solarradiation,50,355.0,428.0,0.6575718726067893,0.3869715819580182
solarradiation,60,428.0,500.0,0.6707542434095733,0.37845711732789733
solarradiation,70,500.0,540.0,0.689774321455169,0.36279102251157525
solarradiation,80,540.0,566.0,0.6717572842509532,0.3759517167168126
solarradiation,90,566.0,627.0,0.6772471314864054,0.3710093235711712
solarradiation,100,627.0,672.0,0.7000564543738077,0.3543365199354903
temp,10,19.799999237060547,21.299999237060547,0.7101338060740676,0.3465493199971075
temp,20,21.299999237060547,22.899999618530273,0.6991415768101946,0.35729129661671044
temp,30,22.899999618530273,23.600000381469727,0.6997243921028256,0.3556674018678543
temp,40,23.600000381469727,24.100000381469727,0.6899619594796536,0.362135556360254
temp,50,24.100000381469727,24.799999237060547,0.7031822695317298,0.35420514114067925
temp,60,24.799999237060547,25.299999237060547,0.6904578389198583,0.3614841613066721
temp,70,25.299999237060547,25.5,0.7040508852201726,0.34987510838201064
temp,80,25.5,25.799999237060547,0.701441272568128,0.35104238745762584
temp,90,25.799999237060547,26.200000762939453,0.690185672850543,0.36111223106449364
temp,100,26.200000762939453,27.700000762939453,0.6966977504659431,0.3600772581733015
